prompt,completion
Enjoyed seamlessly setting my #alarm using #okgoogle #Nougat. Just tell #Okgoogle what to do and she does it. #PersonalAssistant,"joy
optimism"
#internationaldayofpeace : When white supremacists terrorize everyone of differing cultures online and will continue it offline tomorrow.,"anger
disgust
fear"
Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,"anger
disgust"
Just over a week until I start my new job in F1! Looking forward to it and cacking myself at the same time! ,"anticipation
joy
optimism"
"Bake off on TV and the Match on my phone, what a nightmare I'm so stressed #GBBO #NTFCVMUFC","fear
sadness"
even walking around with my family members who carry guns makes me nervous and theyre my family....,"anger
fear
pessimism"
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,sadness
What a sad day...1st day of Fall...I don't dislike Fall...I just LOVE Summer #FirstDayofFall #goodbyesummer #sadness #bathingsuitsforever,"pessimism
sadness"
I just heard the most incredibly transcendent song ever &amp; now I feel high &amp; fucked up yet joyful &amp; I will never be the same,"joy
love
optimism"
untypical kinda Friday #dull,"disgust
sadness"
@takumasgirl I fell and heard a snap hffffhj,"fear
sadness"
Like hello? I am your first born you must always laugh at my jokes. ,"joy
optimism
surprise"
@AlohaJonathan @AtlantaFX all I've seen is that clip of the jail scene with the sexuality part which was hilarious,"anticipation
joy
optimism"
"Half past midnight, loud banging on our front door, been told about new rape cases in Edinburgh today #joyful #nosleep","fear
joy"
"if you have been on depression too u shouldn't be judging him and exposing him to everyone, but helping him",disgust
5am blues while riding a cab home:\n- my belly is much bigger than the rest of my body\n- but i couldnt be preggy\n- how to lose it in a day,"disgust
sadness"
@bdp514am We are a tired and restless community. We are human and tired of asking for change only to be ignored.,"anger
disgust
pessimism
sadness"
@hesham786 that's the spirit ,"anticipation
joy
optimism"
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 ","anger
disgust"
"Symmetry is Key, everything must be aesthetically pleasing as possible, that is why I hold you twin pistols. #DeathTheKid #Bot","anticipation
optimism"
@TheCatHeSay I may be #alwayshungry but I haven't sunk that low yet!! @Thereluctantcat,
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,"anger
disgust
sadness"
When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?' ,"optimism
sadness"
"@gypsydragoness wrinkling up. 'Well now, looks here like your name starts with the letter G, eh?' The man smiled up and gave a hearty +","anticipation
joy
optimism"
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger
honestly all my friends do bnc i mean it and i am feeling #terrible hahaha,"anger
disgust
joy"
@iyaycruz lets see chirp,
Recording some more #FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream 😂 #horror #suchagirl,"fear
joy"
"@dreamsandpocky Like, despite all my irritation towards ur ship, at least its canon. BuckyNat is canon, (and clintwanda is canon)","anger
disgust"
"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.","anticipation
optimism"
Panda eyed jaunty after watching jaws until late!,joy
Contactless affliction kart are the needs must regarding the psychological moment!: xbeUJGB,joy
Such merriment &amp; laughter from @dadwroteaporno at @KingsPlace &amp; an instructional PowerPoint presentation.Well done to all concerned &amp; thanks,"joy
optimism"
My study skills are terrible 😒,"anger
disgust
sadness"
I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown,"anger
disgust
pessimism"
Projection is perception. See it in someone else? You also at some level have that within you. #anger #worry,"anger
disgust
fear"
"@EmbitteredIcon *Sam grins against Steve's lips, murmuring his words with a playful tone* You want the shirt off? I sure i could accommodate","joy
sadness"
"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation","anger
disgust"
@ITdominiccoyle @IrishTimesBiz Between Barroso going to Goldman and this the @EU_Commission is getting a very serious self inflicted problem,disgust
@IreneEstry can't wait to see you Hun #cuddles #gossip #laughter,"joy
love
optimism"
@CNN &amp; @donlemon must be rejoicing ovet #Charlotte protests. \n#NorthCarolina,"disgust
joy
love"
"@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated","anger
disgust
sadness"
We Are Source!!\n\n#mindset #philosophy #thoughtsbecomethings #news #lifehacks #fear #you #LIFE #PleaseRT #ProblemSolving,"fear
joy
optimism"
@EASPORTS_MUT fix this home/away deptch chart invalid glitch. I have to close madden and re-open it everytime this happens,"anger
disgust"
@icuminhoesasses Think about it if he need white peoples votes wouldn't just reach out about things that only concern them &amp; leave out rest?,"anger
disgust"
smiling through the stress :) :) :) :) :) :) :( :( :( :( :( :( :(,"joy
optimism
sadness
trust"
"@escotony sorry to hear about your experience, however, please do not hesitate to contact us via live chat or email at askdysonUS@dyson.com","anticipation
optimism
sadness"
"Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about #terrorism.","anger
disgust
fear"
I know this is going to be one of those nights where it takes an Act of God to fall asleep.  #restless,"pessimism
sadness"
Banger sit in 2013 reason why we great doings him alias for why we rejoice in he.: kzfqR,joy
i feel furious,"anger
disgust"
#nobody #understand what #advocate mean if you do then use it #right #never be #afraid so #positive word is. I can that is #POWERFUL,"anticipation
joy
optimism"
"I don't know what's worse, the new Pizza Hut commercials or the pizza that Pizza Hut makes. ","anger
disgust
pessimism"
@6itmap I can't help but feel melancholic!,"joy
pessimism
sadness"
I always thought I was too empathetic but it's becoming clear that the majority of you guys are plain insensitive to an alarming degree,"anger
disgust"
"#NawazSharif says lets end #terror. Sure, let #IndianArmedForces target the bases without #Pakistan interference #Karma?","anger
disgust
fear"
@faye_catherine happy anger sad melancholy confusion #woodspurge,"anger
disgust
pessimism
sadness"
@RLH2606 if u know who died.. I would also burst out crying....\nFrom JOY!!! 😉,"joy
sadness"
"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter","anger
disgust
sadness"
@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. #intimidated,"anger
disgust
fear"
@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.,"anger
disgust
sadness"
#PiersGough on thoroughly lively and imaginative developers—“Sager have always challenged us to do better and do better.” @IslingtonSq,"joy
optimism
trust"
Check out @VovimPrgel - From Scotland #gamer #YouTuber #vlogger #designer #animator #artist. TY for following The Wake  #horrorfilm,fear
@macmel19 come play madden at my house after school,"anticipation
joy
optimism"
Floofel.i wonder if your mother knows how dark your humor can be.Needs to realize how much of a butt Apple is. Pastels and cats.cutie pie.,"anticipation
disgust
joy
pessimism"
In other news. My legs hurt. #running #5kin26mins #dreadful #flatfeet,"anger
disgust
sadness"
Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ ,"joy
love
optimism"
@justinbieber Thank u Justin for this amazing concert. I can't believe that only u can provoke these thousand smiles these night#BelieveTour,"joy
love
optimism"
Why doesn't anybody I know watch penny dreadful? ☹️️,"disgust
pessimism
sadness"
Thank you @twitter for the balloons today. #smile #goodday #48,"joy
love"
Currently listening to @ScottFoxonair &amp; @KatCallaghan @Z1035Toronto podcasts!! Can you guys please move to #yvr ? #hilarious #missyou,"joy
love"
"@devenmiddleton i'm totally loving it, it just makes me sad when people feel super awful cuz they aren't abroad like life is still goin","joy
love
sadness"
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,"anger
fear
sadness"
#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight,"joy
optimism"
@zavierdaniels had to snap going crazy 😭😭,"anger
disgust
pessimism
sadness"
Well that draw is lively! #EFLCup,"joy
optimism"
Depression sucks! ,sadness
@WunderlistHelp are you guys still down? When can we go up? #panic,fear
Happiness is the best revenge,"joy
optimism"
"Everyday I wake up, a different @SpursOfficial player signs a contract extension! Love it!! #future #is #bright #COYS","anticipation
joy
love
optimism"
@CharlieEblacker hate being shy 😩,"anger
disgust
fear
sadness"
"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there.  #ignorant","anger
anticipation
disgust
surprise"
how maybe it was with you and your parents..that I would understand you and your fear of indifference from your own mom and dad..,"fear
sadness"
"This room is rather dreary, but we endure what we must.","disgust
pessimism"
@AdamSinger bubble implies it will burst?,"sadness
surprise"
@realDonaldTrump @KellyannePolls New campaign slogan idea...'I know you are but what am I?'  #Trump2016 #yourefired #deflect,"anger
disgust"
"my school photo is honestly horrid, i look so ew😅","disgust
sadness"
"When you wake up from a dream laughing at something stupid, and that makes you laugh more ","joy
love
optimism
surprise"
"I'm mad at the injustice, so I'm going to smash my neighbours windows'.  Makes perfect sense. #CharlotteProtest ",anger
@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.,optimism
"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.","anticipation
optimism
surprise"
@V_of_Europe @ckolacia MSM relentlessly saying DT can't win to: depress GOP turnout &amp; provide cover 4 stolen election!,"anger
disgust
pessimism
sadness"
"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.",
"Headed to Montalvo w/@jaxster3—bring on the #mirth, bitches!\nd(-_-)b\n@Nick_Offerman\n@MeganOMullally\n#SummerOf69Tour2016","anger
joy
optimism"
